nodo_id_1,nodo_name_1,nodo_type_1,nodo_id_2,nodo_name_2,nodo_type_2,distanza
1/61  [644],Roseto degli Abruzzi,CASELLO,3896,VOMANO EST,DISTRIBUTORE,3.7
3896,VOMANO EST,DISTRIBUTORE,1/60  [642],Giulianova,ALLACCIAMENTO,5.9
1/60  [642],Giulianova,ALLACCIAMENTO,3897,TORTORETO EST,DISTRIBUTORE,10.7
3897,TORTORETO EST,DISTRIBUTORE,1/65  [2049],Val Vibrata,CASELLO,4.2
1/65  [2049],Val Vibrata,CASELLO,1/59  [640],San Benedetto del Tronto,CASELLO,7.8
1/59  [640],San Benedetto del Tronto,CASELLO,1/66  [2115],Grottammare,CASELLO,9.9
1/66  [2115],Grottammare,CASELLO,3885,PICENO EST,DISTRIBUTORE,11.0
3885,PICENO EST,DISTRIBUTORE,1/58  [638],Pedaso,CASELLO,2.9
1/58  [638],Pedaso,CASELLO,1/57  [543],Fermo Porto San Giorgio,CASELLO,8.4
1/57  [543],Fermo Porto San Giorgio,CASELLO,1/67  [2736],Porto Sant' Elpidio,CASELLO,8.7
1/67  [2736],Porto Sant' Elpidio,CASELLO,3883,CHIENTI EST,DISTRIBUTORE,6.9
3883,CHIENTI EST,DISTRIBUTORE,1/56  [633],Civitanova Marche,CASELLO,1.3
1/56  [633],Civitanova Marche,CASELLO,1/55  [632],Loreto,CASELLO,17.1
1/55  [632],Loreto,CASELLO,3891,CONERO EST,DISTRIBUTORE,6.5
3891,CONERO EST,DISTRIBUTORE,1/54  [630],Ancona sud,CASELLO,8.6
1/54  [630],Ancona sud,CASELLO,1/53  [629],Ancona nord,CASELLO,16.9
1/53  [629],Ancona nord,CASELLO,3863,ESINO EST,DISTRIBUTORE,4.8
3863,ESINO EST,DISTRIBUTORE,1/68  [2830],Montemarciano,CASELLO,0.8
1/68  [2830],Montemarciano,CASELLO,1/52  [2730],Senigallia,CASELLO,13.4
1/52  [2730],Senigallia,CASELLO,10187,METAURO EST,DISTRIBUTORE,8.3
10187,METAURO EST,DISTRIBUTORE,1/64  [626],Marotta,CASELLO,0.9
1/64  [626],Marotta,CASELLO,1/51  [625],Fano,CASELLO,12.0
1/51  [625],Fano,CASELLO,1/50  [623],Pesaro,CASELLO,17.4
1/50  [623],Pesaro,CASELLO,1/5006  [622],Cambio Competenza A14 T03 - T07,CASELLO,11.7
1/5006  [622],Cambio Competenza A14 T03 - T07,CASELLO,1/49  [318],Cattolica,CASELLO,0.3
1/49  [318],Cattolica,CASELLO,1/48  [317],Riccione,CASELLO,8.5
1/48  [317],Riccione,CASELLO,3861,MONTEFELTRO EST,DISTRIBUTORE,1.8
3861,MONTEFELTRO EST,DISTRIBUTORE,1/47  [314],Rimini sud,CASELLO,6.2
1/47  [314],Rimini sud,CASELLO,1/46  [313],Rimini nord,CASELLO,10.1
1/46  [313],Rimini nord,CASELLO,3882,RUBICONE EST,DISTRIBUTORE,6.0
3882,RUBICONE EST,DISTRIBUTORE,1/69  [2821],Valle Del Rubicone,CASELLO,1.23
1/69  [2821],Valle Del Rubicone,CASELLO,1/45  [311],Cesena,CASELLO,10.37
1/45  [311],Cesena,CASELLO,1/39  [59],Cesena nord,CASELLO,6.1
1/39  [59],Cesena nord,CASELLO,3857,BEVANO EST,DISTRIBUTORE,4.1
3857,BEVANO EST,DISTRIBUTORE,1/44  [309],Forli',CASELLO,7.9
1/44  [309],Forli',CASELLO,1/43  [302],Faenza,CASELLO,17.1
1/43  [302],Faenza,CASELLO,3854,SANTERNO EST,DISTRIBUTORE,5.0
3854,SANTERNO EST,DISTRIBUTORE,1/983  [300],Bivio A14/Diramazione Ravenna,ALLACCIAMENTO,2.8
1/983  [300],Bivio A14/Diramazione Ravenna,ALLACCIAMENTO,1/42  [299],Imola,CASELLO,6.6
1/42  [299],Imola,CASELLO,1/38  [1076],Castel San Pietro,CASELLO,11.9
1/38  [1076],Castel San Pietro,CASELLO,3873,SILLARO EST,DISTRIBUTORE,0.8
3873,SILLARO EST,DISTRIBUTORE,1/41  [297],Bologna San Lazzaro,ALLACCIAMENTO,15.2
1/41  [297],Bologna San Lazzaro,ALLACCIAMENTO,1/40  [2467],Bologna Fiera,CASELLO,6.7
1/40  [2467],Bologna Fiera,CASELLO,1/973  [296],Bivio A14/A13 Bologna-Padova,ALLACCIAMENTO,1.1
1/973  [296],Bivio A14/A13 Bologna-Padova,ALLACCIAMENTO,1/982  [295],Bivio A14/Racc. A1 BO Casalecchio,ALLACCIAMENTO,5.4
1/982  [295],Bivio A14/Racc. A1 BO Casalecchio,ALLACCIAMENTO,1/12  [1021],Bologna Borgo Panigale,ALLACCIAMENTO,4.2
1/12  [1021],Bologna Borgo Panigale,ALLACCIAMENTO,3878,LA PIOPPA EST,DISTRIBUTORE,2.5
3878,LA PIOPPA EST,DISTRIBUTORE,1/981  [292],Bivio A14/A1 Milano-Napoli,ALLACCIAMENTO,2.3
1/953  [453],Bivio A13/A4 Torino-Trieste,ALLACCIAMENTO,1/112  [305],Padova Industriale,CASELLO,4.3
1/112  [305],Padova Industriale,CASELLO,1/1018  [70204],Bivio A13-Padova Sud,ALLACCIAMENTO,12.4
1/1018  [70204],Bivio A13-Padova Sud,ALLACCIAMENTO,10034,S.PELAGIO OVEST,DISTRIBUTORE,1.8
10034,S.PELAGIO OVEST,DISTRIBUTORE,1/109  [357],Terme Euganee,CASELLO,3.2
1/109  [357],Terme Euganee,CASELLO,1/108  [356],Monselice,CASELLO,6.4
