dtx,c_ads,nome,n_prg_str,n_prg_ram,n_prg_km,c_str,c_ram,c_ver_per,c_dir,t_des_str,t_des_ram,dir,cap,aspi,c_reg,c_soc,daDes,daDtx,daType,aaDes,aaDtx,c_unv_pnt_pri,c_unv_pnt_sec,aaType,carbCbrd,carbDesbrd,lon,lat,c_tip_dev,radius,position,autostrade_dtx,idImpianto,nome_impianto,Bandiera,Brand
10510,A41,RONCOBILACCIO OVEST,1,1,242.6,A01,A1,D,D,A1 MILANO-NAPOLI,A1 PANORAMICA,FIRENZE,NAPOLI,S,8,6,Roncobilaccio,3553,SC,Loc. Aglio Km 255,25912,376,70133,NC,a1C7T0000007cqAUAQ,SARNI OIL,11.2311,44.11645,ADS,30,"{'lat': 44.11645, 'lon': 11.2311, 'type': 'ADS', 'radius': 30}",10510,37288.0,RONCOBILACCIO OVEST,Sarni Oil,SARNI OIL
10509,A40,RONCOBILACCIO EST,1,1,242.6,A01,A1,S,S,A1 MILANO-NAPOLI,A1 PANORAMICA,BOLOGNA,MILANO,S,8,6,Loc. Aglio Km 255,25912,NC,Roncobilaccio,3553,70133,376,SC,a1C7T0000007cplUAA,TAMOIL,11.23192,44.11668,ADS,30,"{'lat': 44.11668, 'lon': 11.23192, 'type': 'ADS', 'radius': 30}",10509,36723.0,RONCOBILACCIO EST,Sarni Oil,TAMOIL
3555,A45,AGLIO EST,1,1,255.8,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,BOLOGNA,MILANO,S,8,6,Loc. Aglio Km 255,25912,NC,Roncobilaccio,3553,70133,376,SC,a1C7T0000007cpQUAQ,IP GRUPPO API,11.22605,44.02912,ADS,56,"{'lat': 44.02912, 'lon': 11.22605, 'type': 'ADS', 'radius': 56}",3555,3687.0,AGLIO EST,Api-Ip,IP GRUPPO API
10132,A51,BISENZIO OVEST,1,1,279.8,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,FIRENZE,NAPOLI,S,9,6,Bivio A1/Complanare Firenze Nord,25232,NC,Firenze Nord,3557,2732,382,SC,a1C7T0000007cpQUAQ,IP GRUPPO API,11.16206,43.84007,ADS,75,"{'lat': 43.84007, 'lon': 11.16206, 'type': 'ADS', 'radius': 75}",10132,3510.0,BISENZIO OVEST,Api-Ip,IP GRUPPO API
3558,A50,BISENZIO EST,1,1,280.4,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,FIRENZE,MILANO,S,9,6,Allacciamento A1/A11,3556,NC,Bivio Complanare Firenze Nord/A11,25233,405,2733,NC,a1C7T0000007cpQUAQ,IP GRUPPO API,11.16014,43.83541,ADS,61,"{'lat': 43.83541, 'lon': 11.16014, 'type': 'ADS', 'radius': 61}",3558,36828.0,BISENZIO EST,Api-Ip,IP GRUPPO API
99001,PV1,PARCHEGGIO VILLA COSTANZA (primi 30 minuti gratuiti),1,1,289.7,A01,A1,D,,A1 MILANO-NAPOLI,A1 Milano-Napoli,ROMA,NAPOLI,S,9,6,Firenze Scandicci,24812,SC,Firenze Impruneta,3576,2445,384,SC,,,11.169413,43.754066,ADS,126,"{'lat': 43.754066, 'lon': 11.169413, 'type': 'ADS', 'radius': 126}",,,,,
99002,PV2,PARCHEGGIO VILLA COSTANZA (primi 30 minuti gratuiti),1,1,289.7,A01,A1,S,,A1 MILANO-NAPOLI,A1 Milano-Napoli,FIRENZE,MILANO,S,9,6,Firenze Impruneta,3576,,Firenze Scandicci,24812,384,2445,,,,11.172677,43.754016,ADS,126,"{'lat': 43.754016, 'lon': 11.172677, 'type': 'ADS', 'radius': 126}",,,,,
3574,A60,CHIANTI EST,1,1,305.6,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,FIRENZE,MILANO,S,9,6,Incisa - Reggello,3573,SC,Firenze Sud,3575,387,385,SC,a1C7T0000007cpQUAQ,IP GRUPPO API,11.33265,43.73015,ADS,59,"{'lat': 43.73015, 'lon': 11.33265, 'type': 'ADS', 'radius': 59}",3574,3486.0,CHIANTI EST,Api-Ip,IP GRUPPO API
10139,A61,CHIANTI OVEST,1,1,305.6,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,ROMA,NAPOLI,S,9,6,Firenze Sud,3575,SC,Incisa - Reggello,3573,385,387,SC,a1CTk000000HIuzMAG,Esso,11.33302,43.72922,ADS,41,"{'lat': 43.72922, 'lon': 11.33302, 'type': 'ADS', 'radius': 41}",10139,39736.0,CHIANTI OVEST,Esso,ESSO
10138,A66,ARNO OVEST,1,1,321.5,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,ROMA,NAPOLI,S,9,6,Incisa - Reggello,3573,SC,Valdarno,3571,387,389,SC,a1C7T0000007cpQUAQ,IP GRUPPO API,11.46438,43.65087,ADS,97,"{'lat': 43.65087, 'lon': 11.46438, 'type': 'ADS', 'radius': 97}",10138,53509.0,ARNO OVEST,Api-Ip,IP GRUPPO API
24988,Z99,ARNO EST,1,1,330.8,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,FIRENZE,MILANO,S,9,6,Valdarno,3571,SC,Incisa - Reggello,3573,389,387,SC,a1C7T0000007cpHUAQ,ENI,11.52186,43.58331,ADS,55,"{'lat': 43.58331, 'lon': 11.52186, 'type': 'ADS', 'radius': 55}",24988,3574.0,ARNO EST,Agip Eni,AGIP ENI
10137,A71,BADIA AL PINO OVEST,1,1,362.3,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,ROMA,NAPOLI,S,9,6,Arezzo,3570,SC,Monte San Savino,3567,390,411,SC,a1C7T0000007cpQUAQ,IP GRUPPO API,11.76318,43.4078,ADS,55,"{'lat': 43.4078, 'lon': 11.76318, 'type': 'ADS', 'radius': 55}",10137,3471.0,BADIA AL PINO OVEST,Api-Ip,IP GRUPPO API
3569,A70,BADIA AL PINO EST,1,1,362.5,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,FIRENZE,MILANO,S,9,6,Monte San Savino,3567,SC,Arezzo,3570,411,390,SC,a1CTk000000HIuzMAG,Esso,11.76354,43.40521,ADS,75,"{'lat': 43.40521, 'lon': 11.76354, 'type': 'ADS', 'radius': 75}",3569,3537.0,BADIA AL PINO EST,Esso,ESSO
3568,A75,LUCIGNANO EST,1,1,380.7,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,FIRENZE,MILANO,S,9,6,Valdichiana,3560,SC,Monte San Savino,3567,413,411,SC,a1C7T0000007cpHUAQ,ENI,11.77448,43.2468,ADS,26,"{'lat': 43.2468, 'lon': 11.77448, 'type': 'ADS', 'radius': 26}",3568,41500.0,LUCIGNANO EST,Agip Eni,AGIP ENI
10136,A76,LUCIGNANO OVEST,1,1,380.7,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,ROMA,NAPOLI,S,9,6,Monte San Savino,3567,SC,Valdichiana,3560,411,413,SC,a1C7T0000007cphUAA,Q8,11.77458,43.246,ADS,18,"{'lat': 43.246, 'lon': 11.77458, 'type': 'ADS', 'radius': 18}",10136,29384.0,LUCIGNANO OVEST,Q8,Q8
3561,A80,MONTEPULCIANO EST,1,1,395.0,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,FIRENZE,MILANO,S,9,6,Chiusi-Chianciano Terme,3563,SC,Valdichiana,3560,415,413,SC,a1C7T0000007cpQUAQ,IP GRUPPO API,11.86513,43.13587,ADS,35,"{'lat': 43.13587, 'lon': 11.86513, 'type': 'ADS', 'radius': 35}",3561,3489.0,MONTEPULCIANO EST,Api-Ip,IP GRUPPO API
10133,A81,MONTEPULCIANO OVEST,1,1,395.0,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,ROMA,NAPOLI,S,9,6,Valdichiana,3560,SC,Chiusi-Chianciano Terme,3563,413,415,SC,a1C7T0000007cpQUAQ,IP GRUPPO API,11.86423,43.13577,ADS,33,"{'lat': 43.13577, 'lon': 11.86423, 'type': 'ADS', 'radius': 33}",10133,59918.0,MONTEPULCIANO OVEST,Api-Ip,IP GRUPPO API
3562,A85,FABRO EST,1,1,427.8,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,FIRENZE,MILANO,S,10,6,Fabro,11003,SC,C.C. A1 Tronco 4-Tronco 5,10905,425,461,CC,a1C7T0000007cpQUAQ,IP GRUPPO API,12.01867,42.87623,ADS,37,"{'lat': 42.87623, 'lon': 12.01867, 'type': 'ADS', 'radius': 37}",3562,44643.0,FABRO EST,Api-Ip,IP GRUPPO API
10134,A86,FABRO OVEST,1,1,427.8,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,ROMA,NAPOLI,S,10,6,C.C. A1 Tronco 4-Tronco 5,10905,CC,Fabro,11003,461,425,SC,a1C7T0000007cpHUAQ,ENI,12.01782,42.87588,ADS,37,"{'lat': 42.87588, 'lon': 12.01782, 'type': 'ADS', 'radius': 37}",10134,3855.0,FABRO OVEST,Agip Eni,AGIP ENI
3582,A90,TEVERE EST,1,1,464.7,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,FIRENZE,MILANO,S,10,6,Attigliano,3564,SC,Orvieto,3583,422,424,SC,a1C7T0000007cphUAA,Q8,12.23132,42.62481,ADS,29,"{'lat': 42.62481, 'lon': 12.23132, 'type': 'ADS', 'radius': 29}",3582,48233.0,TEVERE EST,Q8,Q8
10142,A91,TEVERE OVEST,1,1,464.7,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,ROMA,NAPOLI,S,10,6,Orvieto,3583,SC,Attigliano,3564,424,422,SC,a1C7T0000007cphUAA,Q8,12.23062,42.62478,ADS,23,"{'lat': 42.62478, 'lon': 12.23062, 'type': 'ADS', 'radius': 23}",10142,48191.0,TEVERE OVEST,Q8,Q8
