autostrade_dtx,autostrade_nome,idImpianto,nome_impianto
25966,SILE OVEST,48847,SILE OVEST
423,CERVADA EST,36253,CERVADA EST
419,PONTE NELLE ALPI OVEST,3599,PONTE NELLE ALPI
10085,GRUARO OVEST,57733,GRUARO OVEST
430,GRUARO EST,57735,GRUARO EST
10069,LEDRA OVEST,36416,LEDRA OVEST
343,LEDRA EST,31589,LEDRA EST
334,CAMPIOLO OVEST,38527,CAMPIOLO OVEST
335,FELLA EST,36400,FELLA EST
10033,CASTEL BENTIVOGLIO OVEST,3544,CASTEL BENTIVOGLIO OVEST
162,CASTEL BENTIVOGLIO EST,40384,CASTEL BENTIVOGLIO EST
177,PO EST,3464,PO EST
10036,PO OVEST,37117,PO OVEST
176,ADIGE EST,3581,ADIGE EST
10035,ADIGE OVEST,36401,ADIGE OVEST
168,S.PELAGIO EST,29434,S.PELAGIO EST
10034,S.PELAGIO OVEST,3862,S.PELAGIO OVEST
409,TURCHINO EST,47770,TURCHINO EST
10081,TURCHINO OVEST,3820,TURCHINO OVEST
407,STURA EST,3535,STURA EST
10080,STURA OVEST,38882,STURA OVEST
10079,BORMIDA OVEST,43358,BORMIDA OVEST
404,BORMIDA EST,31339,BORMIDA EST
24891,MONFERRATO OVEST,44323,MONFERRATO OVEST
401,MONFERRATO EST,38067,MONFERRATO EST
397,SESIA EST,43441,SESIA EST
10077,SESIA OVEST,38312,SESIA OVEST
386,AGOGNA EST,41123,AGOGNA EST
10076,AGOGNA OVEST,40495,AGOGNA OVEST
627,MARENGO NORD,48755,MARENGO NORD
10099,MARENGO SUD,43454,MARENGO SUD
641,LE RISAIE OVEST,46317,LE RISAIE OVEST
25044,CAVOUR EST,3512,CAVOUR EST
135,PIANI D'INVREA NORD,52126,PIANI D'INVREA NORD
10028,PIANI D'INVREA SUD,60973,PIANI D'INVREA SUD
134,S.CRISTOFORO NORD,3551,S.CRISTOFORO NORD
131,RINOVO NORD,47511,RINOVO NORD
130,VALLE CHIAPPA SUD,37348,VALLE CHIAPPA SUD
126,CONIOLI SUD,39695,CONIOLI SUD
106,CASTELLARO NORD,30181,CASTELLARO NORD
108,BORDIGHERA SUD,47200,BORDIGHERA SUD
10021,BORDIGHERA NORD,38402,BORDIGHERA NORD
25069,AURELIA SUD,36450,AURELIA SUD
10176,S.ILARIO SUD,23908,S.ILARIO SUD
3822,S.ILARIO NORD,3474,S.ILARIO NORD
3832,RIVIERA NORD,38532,RIVIERA NORD
10179,RIVIERA SUD,57624,RIVIERA SUD
3828,BRUGNATO OVEST,43036,BRUGNATO OVEST
10178,BRUGNATO EST,29404,BRUGNATO EST
10177,MAGRA OVEST,51810,MAGRA OVEST
3826,MAGRA EST,3929,MAGRA EST
10519,VERSILIA EST,22171,VERSILIA EST
10518,VERSILIA OVEST,22167,VERSILIA OVEST
10173,CASTAGNOLO OVEST,3563,CASTAGNOLO OVEST
3811,CASTAGNOLO EST,40847,CASTAGNOLO EST
3816,SAVALANO OVEST,3607,SAVALANO OVEST
3812,FINE EST,3842,FINE EST
10182,ARRONE OVEST,36294,ARRONE OVEST
3852,ARRONE EST,41426,ARRONE EST
10180,TIRRENO OVEST,35430,TIRRENO OVEST
3843,TIRRENO EST,3565,TIRRENO EST
3846,TOLFA EST,36415,TOLFA EST
568,MONTE DI QUIESA,3823,MONTE DI QUIESA NORD
159,PERETOLA SUD,3861,PERETOLA SUD
10032,PERETOLA NORD,53752,PERETOLA NORD
145,SERRAVALLE NORD,3554,SERRAVALLE NORD
10030,SERRAVALLE SUD,50907,SERRAVALLE SUD
10031,MIGLIARINO SUD,48297,MIGLIARINO SUD
151,MIGLIARINO NORD,50427,MIGLIARINO NORD
836,FIRENZE NORD,36724,FIRENZE NORD
181,MEDESANO OVEST,37044,MEDESANO OVEST
10037,MEDESANO EST,3562,MEDESANO EST
10041,TUGO OVEST,53111,TUGO OVEST
193,TUGO EST,29996,TUGO EST
10038,MONTAIO OVEST,37291,MONTAIO OVEST
10039,SAN BENEDETTO OVEST,29505,S. BENEDETTO OVEST
184,SAN BENEDETTO EST,43569,S. BENEDETTO EST
187,MELARA EST,3746,MELARA EST
10072,COLLE TASSO NORD,3897,COLLE TASSO NORD
358,COLLE TASSO SUD,30022,COLLE TASSO SUD
348,CIVITA SUD,44198,CIVITA SUD
10071,CIVITA NORD,36852,CIVITA NORD
366,VALLE ATERNO NORD,38941,VALLE ATERNO NORD
10073,VALLE ATERNO SUD,3836,VALLE ATERNO SUD
24890,TIBURTINA SUD,48981,TIBURTINO SUD
24889,LA RUSTICA,48564,LA RUSTICA NORD
10074,MONTE VELINO SUD,3516,MONTE VELINO SUD
376,MONTE VELINO NORD,39805,MONTE VELINO NORD
10075,BRECCIAROLA SUD,37345,BRECCIAROLA SUD
384,BRECCIAROLA NORD,37292,BRECCIAROLA NORD
10044,VESUVIO SUD,35472,VESUVIO SUD
209,VESUVIO NORD,35471,VESUVIO NORD
199,IRPINIA NORD,3686,IRPINIA NORD
10042,IRPINIA SUD,60755,IRPINIA SUD
10047,MIRABELLA SUD,46379,MIRABELLA SUD
216,MIRABELLA NORD,35467,MIRABELLA NORD
214,CALAGGIO NORD,37312,CALAGGIO NORD
10046,CALAGGIO SUD,3518,CALAGGIO SUD
10043,TORRE ALEMANNA SUD,47238,TORRE ALEMANNA SUD
10045,OFANTO SUD,35463,OFANTO SUD
212,OFANTO NORD,52856,OFANTO NORD
472,TRE PONTI EST,35470,TRE PONTI EST
10087,TRE PONTI OVEST,22319,TRE PONTI OVEST
10086,ANGIOINA OVEST,3680,ANGIOINA OVEST
1131,ANTICA CAMPANA OVEST,32209,ANTICA CAMPANA OVEST
11218,ANTICA CAMPANA EST,32152,ANTICA CAMPANA EST
10118,AGNANO EST,42903,AGNANO EST
1119,AGNANO OVEST,22226,AGNANO OVEST
1123,SCUDILLO OVEST,4023,SCUDILLO OVEST
10119,SCUDILLO EST,35333,SCUDILLO EST
11219,DOGANELLA OVEST,50584,DOGANELLA OVEST
10516,TORRE ANNUNZIATA OVEST,41777,TORRE ANNUNZIATA OVEST
3618,ALFATERNA EST,52750,ALFATERNA EST
10148,ALFATERNA OVEST,58462,ALFATERNA OVEST
1260,FREJUS,3749,FREJUS NORD
11278,LASTRA A SIGNA,26637,Lastra a Signa - S.G.C. FI-PI-LI LOC. PIANACCI
11279,MONTELUPO,60710,ESSO MONTELUPO FIORENTINO VIA DI BRAMASOLE 1 S.G.C. FI/PI/LI
11280,SAN MINIATO,13546,San miniato
11281,SAN MINIATO,13546,San miniato
25847,SANTA LUCIA,54244,IP45603
25846,VALDERA,60850,ADS VALDERA
11283,GELLO,55332,PONTEDERA S.G.C.FI-PI-LI KM 56+750-GELLO
11282,PONTEDERA NORD,43993,ENI PONTEDERA NORD
11284,GRECCIANO NORD,35303,COLLESALVETTI GRECCIANO
11285,GRECCIANO SUD,37729,Grecciano sud
25918,MORTAIOLO SUD,32823,COLLESALVETTI DIR FI
25917,MORTAIOLO NORD,54953,G.D. FUEL SRL
11286,CASCINA NORD,8614,CASCINA LOC.MARCIANA SUPERSTR.FI/PI/LI
11287,CASCINA SUD,30850,Cascina Sud
11288,TITIGNANO SUD,56937,ESSO CASCINA S.C.G.FI-PI-LI KM 70+445 LOC. TITIGNANO
25848,TITIGNANO NORD,7294,CASCINA - SDA GRANDE COM FI-PI
24955,VILLABONA ROTATORIA NORD,51862,3733 – Venezia Marghera
24943,VILLABONA ROTATORIA SUD,24798,VILLABONASUD
24948,BAZZERA SUD,3588,BAZZERA SUD
24956,BAZZERA NORD,40134,BAZZERA NORD
11279,MONTELUPO,15448,MONTELUPO FIORENTINO
25846,VALDERA,44917,ADS VALDERA
11285,GRECCIANO SUD,59803,5099  COLLESALVETTI
25917,MORTAIOLO NORD,32994,COLLESALVETTI DIR LI
24943,VILLABONA ROTATORIA SUD,22215,MARGHERA
